[2026-05-16 23:00:14] [incremental] 3 datasets | overlap=3 days | workers=6 | parallel=False
[2026-05-16 23:00:14] [incremental] Datasets: ['min_adj_15min', 'min_adj_30min', 'min_adj_60min']
[2026-05-16 23:00:14] 
============================================================
[2026-05-16 23:00:14] [min_adj_15min] Starting incremental update
[2026-05-16 23:00:19] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.4s
[2026-05-16 23:00:19] [min_adj_15min] [incr] 28/2542 | 1 stocks, 64 rows, +0 new | elapsed=5s ETA=424s | tokens=0.0
[2026-05-16 23:00:19] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.6s
[2026-05-16 23:00:19] [min_adj_15min] [incr] 29/2542 | 1 stocks, 64 rows, +0 new | elapsed=5s ETA=417s | tokens=-0.7
[2026-05-16 23:00:20] [min_adj_15min] [incr] 30/2542 | 1 stocks, 64 rows, +0 new | elapsed=5s ETA=410s | tokens=-0.3
[2026-05-16 23:00:20] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.4s
[2026-05-16 23:00:20] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.7s
[2026-05-16 23:00:20] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.3s
[2026-05-16 23:00:20] [min_adj_15min] [incr] 31/2542 | 1 stocks, 64 rows, +0 new | elapsed=5s ETA=402s | tokens=0.0
[2026-05-16 23:00:20] [min_adj_15min] [incr] 32/2542 | 1 stocks, 64 rows, +0 new | elapsed=5s ETA=396s | tokens=0.4
[2026-05-16 23:00:20] [min_adj_15min] [incr] 33/2542 | 1 stocks, 64 rows, +0 new | elapsed=5s ETA=390s | tokens=0.7
[2026-05-16 23:00:20] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.4s
[2026-05-16 23:00:20] [min_adj_15min] [incr] 34/2542 | 1 stocks, 64 rows, +0 new | elapsed=5s ETA=384s | tokens=-0.9
[2026-05-16 23:00:20] [min_adj_15min] [incr] 35/2542 | 1 stocks, 64 rows, +0 new | elapsed=5s ETA=377s | tokens=-0.5
[2026-05-16 23:00:20] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.0s
[2026-05-16 23:00:20] [min_adj_15min] [incr] 36/2542 | 1 stocks, 64 rows, +0 new | elapsed=6s ETA=393s | tokens=-0.7
[2026-05-16 23:00:20] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.7s
